Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Severity,Crash_Time,Crash_Year,Day_of_Week,Hour_of_Day,Intersecting_Street_Name,Latitude,Longitude,Speed_Limit,Street_Name,Person_Death_Count,Person_Injury_Severity,Person_Type,KABCO_USD_Value
21013267,True,2025-09-15,B - SUSPECTED MINOR INJURY,1242,2025,MONDAY,12 PM,WOODROW BEAN,31.89938482,-106.39935034,30,BOMARC ST,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21024841,True,2025-09-15,B - SUSPECTED MINOR INJURY,1152,2025,MONDAY,11 AM,AIRWAY BLVD,31.7841,-106.39555003,-1,AIRWAY BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21027299,True,2025-09-22,C - POSSIBLE INJURY,743,2025,MONDAY,7 AM,S OREGON ST,31.75188485,-106.48599033,30,E 6TH AVE,0,C - POSSIBLE INJURY,Pedestrian,151600
21034155,True,2025-09-26,B - SUSPECTED MINOR INJURY,735,2025,FRIDAY,7 AM,PASEO DEL PRADO DR,31.76797484,-106.27521037,35,PASEO GRANADA LN,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21036345,True,2025-09-26,C - POSSIBLE INJURY,1434,2025,FRIDAY,2 PM,S MESA ST,31.75827485,-106.48691033,35,E SAN ANTONIO AVE,0,C - POSSIBLE INJURY,Pedestrian,151600
21037726,True,2025-09-28,B - SUSPECTED MINOR INJURY,1359,2025,SUNDAY,1 PM,,,,40,DYER,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21045927,True,2025-10-01,B - SUSPECTED MINOR INJURY,1736,2025,WEDNESDAY,5 PM,LILAC DR,31.73352485,-106.34893036,30,MAUER RD,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21046558,True,2025-10-03,N - NOT INJURED,1955,2025,FRIDAY,7 PM,FRANK CORDOVA CIR,31.75999484,-106.27563037,30,FIREHOUSE DR,0,N - NOT INJURED,Pedestrian,0
21050428,True,2025-10-04,B - SUSPECTED MINOR INJURY,901,2025,SATURDAY,9 AM,WESTSIDE DR,31.88584483,-106.62570029,35,W BORDERLAND RD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21054028,True,2025-10-07,B - SUSPECTED MINOR INJURY,758,2025,TUESDAY,7 AM,TEXAS AVE,31.75936485,-106.48634033,30,STANTON ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21056684,True,2025-10-07,N - NOT INJURED,1115,2025,TUESDAY,11 AM,HAWKINS BLVD,31.77559484,-106.37460035,35,VISCOUNT BLVD,0,N - NOT INJURED,Pedestrian,0
21061463,True,2025-10-10,B - SUSPECTED MINOR INJURY,2022,2025,FRIDAY,8 PM,N VIRGINIA ST,31.76138485,-106.48143033,30,MYRTLE AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21067600,True,2025-10-14,B - SUSPECTED MINOR INJURY,1821,2025,TUESDAY,6 PM,W SCHUSTER AVE,31.76697485,-106.50100032,30,HAWTHORNE ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21073724,True,2025-10-17,B - SUSPECTED MINOR INJURY,1222,2025,FRIDAY,12 PM,E YANDELL DR,31.78173484,-106.46144032,35,E YANDELL DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21091876,True,2025-10-23,B - SUSPECTED MINOR INJURY,1703,2025,THURSDAY,5 PM,EL CAJON DR,31.83184484,-106.55177031,35,S RESLER DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21091782,True,2025-10-25,C - POSSIBLE INJURY,1535,2025,SATURDAY,3 PM,S MESA ST,31.75386485,-106.48553033,40,E 4TH AVE,0,C - POSSIBLE INJURY,Pedestrian,151600
21095878,True,2025-10-27,B - SUSPECTED MINOR INJURY,2030,2025,MONDAY,8 PM,STILES DR,31.74172485,-106.37275035,40,N CAROLINA DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21114260,True,2025-10-30,B - SUSPECTED MINOR INJURY,1609,2025,THURSDAY,4 PM,WHIRLAWAY DR,31.72799484,-106.27943037,20,STONE GATE LN,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21103274,True,2025-11-01,C - POSSIBLE INJURY,1915,2025,SATURDAY,7 PM,WYOMING AVE,31.7619015,-106.4911846,30,N OREGON ST,0,C - POSSIBLE INJURY,Pedestrian,151600
21112840,True,2025-11-06,B - SUSPECTED MINOR INJURY,730,2025,THURSDAY,7 AM,HAWTHORNE ST,31.76697485,-106.50100032,30,W SCHUSTER AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21119605,True,2025-11-11,B - SUSPECTED MINOR INJURY,1759,2025,TUESDAY,5 PM,N YARBROUGH DR,31.72860485,-106.34791036,40,N LOOP DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21131199,True,2025-11-17,C - POSSIBLE INJURY,859,2025,MONDAY,8 AM,N RESLER DR,31.86680483,-106.5575903,30,HIGH RIDGE DR,0,C - POSSIBLE INJURY,Pedestrian,151600
21138231,True,2025-11-18,B - SUSPECTED MINOR INJURY,1738,2025,TUESDAY,5 PM,RAYNOLDS ST,31.78368484,-106.43288034,35,MONTANA AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21139289,True,2025-11-20,B - SUSPECTED MINOR INJURY,1600,2025,THURSDAY,4 PM,GLORY RD,31.77536528,-106.5086588,30,E BALTIMORE DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
21154288,True,2025-11-25,C - POSSIBLE INJURY,1723,2025,TUESDAY,5 PM,E 4TH AVE,31.75363485,-106.48656033,35,S OREGON ST,0,C - POSSIBLE INJURY,Pedestrian,151600
21154509,True,2025-12-01,N - NOT INJURED,738,2025,MONDAY,7 AM,MONTWOOD DR,31.76735484,-106.29080037,35,LEE BLVD,0,N - NOT INJURED,Cyclist,0
21157541,True,2025-12-01,A - SUSPECTED SERIOUS INJURY,1020,2025,MONDAY,10 AM,,31.69726485,-106.31726037,25,LANCASTER DR,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
21157910,True,2025-12-02,N - NOT INJURED,714,2025,TUESDAY,7 AM,CHARLES FOSTER AVE,31.77652483,-106.21673038,45,JOHN HAYES ST,0,N - NOT INJURED,Cyclist,0
21173153,True,2025-12-10,B - SUSPECTED MINOR INJURY,752,2025,WEDNESDAY,7 AM,E REDD RD,31.87530483,-106.54827199,30,BEAR RIDGE DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
